Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.92) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,,,,,,,,,,,,
Finland,7.632,7.695,7.569,2.595,1.305,1.592,0.874,0.681,0.192,0.393,,,,,,,,,,,,,country
Norway,7.594,7.657,7.530,2.383,1.456,1.582,0.861,0.686,0.286,0.340,,,,,,,,,,,,,Finland
Denmark,7.555,7.623,7.487,2.370,1.351,1.590,0.868,0.683,0.284,0.408,,,,,,,,,,,,,
Iceland,7.495,7.593,7.398,2.426,1.343,1.644,0.914,0.677,0.353,0.138,,,,,,,,,,,,,Denmark
Switzerland,7.487,7.570,7.405,2.320,1.420,1.549,0.927,0.660,0.256,0.357,,,,,,,,,,,,,Iceland
Netherlands,7.441,7.498,7.384,2.448,1.361,1.488,0.878,0.638,0.333,0.295,,,,,,,,,,,,,Switzerland
Canada,7.328,7.421,7.236,2.306,1.330,1.532,0.896,0.653,0.321,0.291,,,,,,,,,,,,,Netherlands
New Zealand,7.324,7.401,7.247,2.156,1.268,1.601,0.876,0.669,0.365,0.389,,,,,,,,,,,,,Canada
Sweden,7.314,7.388,7.241,2.217,1.355,1.501,0.913,0.659,0.285,0.383,,,,,,,,,,,,,New Zealand
Australia,7.272,7.358,7.186,2.139,1.340,1.573,0.910,0.647,0.361,0.302,,,,,,,,,,,,,Sweden
Israel,7.190,7.257,7.123,2.817,1.244,1.433,0.888,0.464,0.262,0.082,,,,,,,,,,,,,Australia
Austria,7.139,7.209,7.069,2.319,1.341,1.504,0.891,0.617,0.242,0.224,,,,,,,,,,,,,Israel
Costa Rica,7.072,7.160,6.983,2.911,1.010,1.459,0.817,0.632,0.143,0.101,,,,,,,,,,,,,Austria
Ireland,6.977,7.055,6.900,1.844,1.448,1.583,0.876,0.614,0.307,0.306,,,,,,,,,,,,,Costa Rica
Germany,6.965,7.024,6.905,2.151,1.340,1.474,0.861,0.586,0.273,0.280,,,,,,,,,,,,,Ireland
Belgium,6.927,6.995,6.859,2.215,1.324,1.483,0.894,0.583,0.188,0.240,,,,,,,,,,,,,Germany
Luxembourg,6.910,6.975,6.844,1.769,1.576,1.520,0.896,0.632,0.196,0.321,,,,,,,,,,,,,
United States,6.886,6.974,6.798,2.227,1.398,1.471,0.819,0.547,0.291,0.133,,,,,,,,,,,,,Luxembourg
United Kingdom,6.814,6.887,6.741,1.912,1.301,1.559,0.883,0.533,0.354,0.272,,,,,,,,,,,,,United States
United Arab Emirates,6.774,6.844,6.704,2.096,1.467,1.296,0.776,0.670,0.284,0.186,,,,,,,,,,,,,United Kingdom
Czech Republic,6.711,6.783,6.639,2.494,1.233,1.489,0.854,0.543,0.064,0.034,,,,,,,,,,,,,United Arab Emirates
Malta,6.627,6.709,6.544,1.784,1.270,1.525,0.884,0.645,0.376,0.142,,,,,,,,,,,,,Czech Republic
France,6.489,6.569,6.410,2.028,1.293,1.466,0.908,0.520,0.098,0.176,,,,,,,,,,,,,Malta
Mexico,6.488,6.581,6.396,2.795,1.038,1.252,0.761,0.479,0.069,0.095,,,,,,,,,,,,,France
Chile,6.476,6.565,6.388,2.517,1.131,1.331,0.808,0.431,0.197,0.061,,,,,,,,,,,,,Mexico
Taiwan Province of China,6.441,6.525,6.356,2.136,1.365,1.436,0.857,0.418,0.151,0.078,,,,,,,,,,,,,Chile
Panama,6.430,6.539,6.321,2.336,1.112,1.438,0.759,0.597,0.125,0.063,,,,,,,,,,,,,Taiwan Province of China
Brazil,6.419,6.515,6.323,2.592,0.986,1.474,0.675,0.493,0.110,0.088,,,,,,,,,,,,,Panama
Argentina,6.388,6.485,6.291,2.418,1.073,1.468,0.744,0.570,0.062,0.054,,,,,,,,,,,,,Brazil
Guatemala,6.382,6.497,6.267,2.871,0.781,1.268,0.608,0.604,0.179,0.071,,,,,,,,,,,,,Argentina
Uruguay,6.379,6.474,6.284,2.147,1.093,1.459,0.771,0.625,0.130,0.155,,,,,,,,,,,,,Guatemala
Qatar,6.374,6.568,6.181,1.593,1.649,1.303,0.748,0.654,0.256,0.171,,,,,,,,,,,,,Uruguay
Saudi Arabia,6.371,6.481,6.260,2.293,1.379,1.331,0.633,0.509,0.098,0.127,,,,,,,,,,,,,Qatar
Singapore,6.343,6.406,6.280,1.005,1.529,1.451,1.008,0.631,0.261,0.457,,,,,,,,,,,,,Saudi Arabia
Malaysia,6.322,6.477,6.167,2.507,1.161,1.258,0.669,0.356,0.311,0.059,,,,,,,,,,,,,Singapore
Spain,6.310,6.388,6.231,1.892,1.251,1.538,0.965,0.449,0.142,0.074,,,,,,,,,,,,,Malaysia
Colombia,6.260,6.358,6.162,2.556,0.960,1.439,0.635,0.531,0.099,0.039,,,,,,,,,,,,,Spain
Trinidad & Tobago,6.192,6.416,5.968,2.148,1.223,1.492,0.564,0.575,0.171,0.019,,,,,,,,,,,,,Colombia
Slovakia,6.173,6.254,6.093,2.165,1.210,1.537,0.776,0.354,0.118,0.014,,,,,,,,,,,,,Trinidad and Tobago
El Salvador,6.167,6.272,6.061,2.884,0.806,1.231,0.639,0.461,0.065,0.082,,,,,,,,,,,,,Slovakia
Nicaragua,6.141,6.256,6.026,2.590,0.668,1.319,0.700,0.527,0.208,0.128,,,,,,,,,,,,,El Salvador
Poland,6.123,6.198,6.048,2.002,1.176,1.448,0.781,0.546,0.108,0.064,,,,,,,,,,,,,Nicaragua
Bahrain,6.105,6.191,6.019,1.743,1.338,1.366,0.698,0.594,0.243,0.123,,,,,,,,,,,,,Poland
Uzbekistan,6.096,6.196,5.996,1.877,0.719,1.584,0.605,0.724,0.328,0.259,,,,,,,,,,,,,Bahrain
Kuwait,6.083,6.171,5.996,1.805,1.474,1.301,0.675,0.554,0.167,0.106,,,,,,,,,,,,,Uzbekistan
Thailand,6.072,6.161,5.984,1.902,1.016,1.417,0.707,0.637,0.364,0.029,,,,,,,,,,,,,Kuwait
Italy,6.000,6.083,5.918,1.843,1.264,1.501,0.946,0.281,0.137,0.028,,,,,,,,,,,,,Thailand
Ecuador,5.973,6.076,5.871,2.228,0.889,1.330,0.736,0.556,0.114,0.120,,,,,,,,,,,,,Italy
Belize,5.956,6.197,5.714,2.710,0.807,1.101,0.474,0.593,0.183,0.089,,,,,,,,,,,,,Ecuador
Lithuania,5.952,6.037,5.867,2.130,1.197,1.527,0.716,0.350,0.026,0.006,,,,,,,,,,,,,Belize
Slovenia,5.948,6.043,5.852,1.522,1.219,1.506,0.856,0.633,0.160,0.051,,,,,,,,,,,,,Lithuania
Romania,5.945,6.038,5.852,2.269,1.116,1.219,0.726,0.528,0.088,0.001,,,,,,,,,,,,,Slovenia
Latvia,5.933,6.004,5.863,2.139,1.148,1.454,0.671,0.363,0.092,0.066,,,,,,,,,,,,,Romania
Japan,5.915,5.997,5.833,1.390,1.294,1.462,0.988,0.553,0.079,0.150,,,,,,,,,,,,,Latvia
Mauritius,5.891,6.006,5.777,1.851,1.090,1.387,0.684,0.584,0.245,0.050,,,,,,,,,,,,,Japan
Jamaica,5.890,6.126,5.653,2.182,0.819,1.493,0.693,0.575,0.096,0.031,,,,,,,,,,,,,Mauritius
South Korea,5.875,5.968,5.782,1.980,1.266,1.204,0.955,0.244,0.175,0.051,,,,,,,,,,,,,Jamaica
Northern Cyprus,5.835,5.954,5.715,1.659,1.229,1.211,0.909,0.495,0.179,0.154,,,,,,,,,,,,,South Korea
Russia,5.810,5.876,5.744,2.091,1.151,1.479,0.599,0.399,0.065,0.025,,,,,,,,,,,,,North Cyprus
Kazakhstan,5.790,5.871,5.709,1.778,1.143,1.516,0.631,0.454,0.148,0.121,,,,,,,,,,,,,Russia
Cyprus,5.762,5.870,5.655,1.774,1.229,1.191,0.909,0.423,0.202,0.035,,,,,,,,,,,,,Kazakhstan
Bolivia,5.752,5.842,5.662,2.469,0.751,1.223,0.508,0.606,0.141,0.054,,,,,,,,,,,,,Cyprus
Estonia,5.739,5.815,5.663,1.457,1.200,1.532,0.737,0.553,0.086,0.174,,,,,,,,,,,,,Bolivia
Paraguay,5.681,5.784,5.577,1.932,0.835,1.522,0.615,0.541,0.162,0.074,,,,,,,,,,,,,Estonia
Peru,5.663,5.770,5.556,2.151,0.934,1.249,0.674,0.530,0.092,0.034,,,,,,,,,,,,,Paraguay
Kosovo,5.662,5.757,5.567,2.255,0.855,1.230,0.578,0.448,0.274,0.023,,,,,,,,,,,,,
Moldova,5.640,5.712,5.568,2.659,0.657,1.301,0.620,0.232,0.171,0.000,,,,,,,,,,,,,Kosovo
Turkmenistan,5.636,5.693,5.579,1.918,1.016,1.533,0.517,0.417,0.199,0.037,,,,,,,,,,,,,Moldova
Hungary,5.620,5.699,5.541,1.974,1.171,1.401,0.732,0.259,0.061,0.022,,,,,,,,,,,,,Turkmenistan
Libya,5.566,5.687,5.445,1.918,0.985,1.350,0.553,0.496,0.116,0.148,,,,,,,,,,,,,Hungary
Philippines,5.524,5.637,5.411,2.056,0.775,1.312,0.513,0.643,0.120,0.105,,,,,,,,,,,,,Libya
Honduras,5.504,5.630,5.378,2.328,0.620,1.205,0.622,0.459,0.197,0.074,,,,,,,,,,,,,Philippines
