Country,Changes in happiness scores,Whisker-high,Whisker-low
Togo,1.191,1.381,1.000
Latvia,1.026,1.168,0.884
Bulgaria,1.021,1.155,0.886
Sierra Leone,1.006,1.191,0.820
Serbia,0.978,1.122,0.833
Macedonia,0.880,1.021,0.739
Uzbekistan,0.874,0.998,0.750
Morocco,0.870,1.007,0.734
Hungary,0.810,0.944,0.677
Romania,0.807,0.955,0.659
Nicaragua,0.760,0.914,0.607
Congo (Brazzaville),0.739,0.948,0.530
Malaysia,0.733,0.905,0.560
Philippines,0.720,0.869,0.571
Tajikistan,0.677,0.781,0.574
Malta,0.667,0.823,0.510
Azerbaijan,0.663,0.768,0.558
Lithuania,0.660,0.799,0.521
Iceland,0.607,0.826,0.388
China,0.592,0.659,0.524
Mongolia,0.585,0.695,0.475
Taiwan Province of China,0.554,0.692,0.415
Mali,0.496,0.609,0.383
Burkina Faso,0.482,0.603,0.362
Benin,0.474,0.657,0.292
Ivory Coast,0.474,0.625,0.323
Pakistan,0.470,0.578,0.363
Czech Republic,0.461,0.574,0.348
Cameroon,0.445,0.583,0.307
Estonia,0.445,0.577,0.313
Russia,0.422,0.509,0.336
Uruguay,0.374,0.501,0.247
Germany,0.369,0.449,0.290
Georgia,0.317,0.431,0.202
Bosnia and Herzegovina,0.313,0.469,0.158
Nepal,0.311,0.445,0.177
Thailand,0.300,0.418,0.182
Dominican Republic,0.298,0.482,0.114
Chad,0.296,0.434,0.158
Bahrain,0.289,0.400,0.177
Kenya,0.276,0.394,0.158
Poland,0.275,0.386,0.164
Sri Lanka,0.265,0.414,0.116
Nigeria,0.263,0.406,0.120
Congo (Kinshasa),0.261,0.424,0.098
Ecuador,0.255,0.387,0.122
Peru,0.243,0.389,0.096
Montenegro,0.221,0.385,0.057
Turkey,0.208,0.343,0.074
Palestinian Territories,0.197,0.329,0.065
Kazakhstan,0.197,0.312,0.083
Kyrgyzstan,0.196,0.307,0.086
Cambodia,0.194,0.315,0.073
Chile,0.186,0.322,0.051
Lebanon,0.185,0.302,0.067
Senegal,0.168,0.273,0.062
South Korea,0.158,0.287,0.030
Kosovo,0.136,0.267,0.005
Slovakia,0.121,0.283,-0.041
Argentina,0.112,0.247,-0.023
Portugal,0.108,0.241,-0.024
Finland,0.100,0.205,-0.005
Moldova,0.091,0.194,-0.012
Ghana,0.066,0.202,-0.069
"Hong Kong SAR, China",0.038,0.172,-0.097
Bolivia,0.029,0.151,-0.092
New Zealand,0.021,0.144,-0.101
Paraguay,0.018,0.154,-0.118
Saudi Arabia,0.016,0.143,-0.111
Guatemala,-0.004,0.141,-0.148
Japan,-0.012,0.093,-0.117
Colombia,-0.023,0.122,-0.167
Belarus,-0.034,0.071,-0.139
Niger,-0.036,0.082,-0.153
Switzerland,-0.037,0.097,-0.172
Norway,-0.039,0.092,-0.169
Slovenia,-0.050,0.123,-0.223
Belgium,-0.058,0.055,-0.171
Armenia,-0.078,0.046,-0.203
Australia,-0.079,0.047,-0.206
El Salvador,-0.092,0.044,-0.227
Sweden,-0.112,-0.012,-0.212
Austria,-0.123,-0.019,-0.226
Netherlands,-0.125,-0.038,-0.212
Israel,-0.134,-0.036,-0.233
Luxembourg,-0.141,-0.020,-0.262
United Kingdom,-0.160,-0.053,-0.267
Indonesia,-0.160,-0.038,-0.283
Singapore,-0.164,-0.082,-0.246
Algeria,-0.169,-0.008,-0.330
Costa Rica,-0.175,-0.059,-0.292
Qatar,-0.187,0.021,-0.394
Croatia,-0.198,-0.078,-0.318
Mauritania,-0.206,-0.098,-0.313
France,-0.208,-0.091,-0.325
United Arab Emirates,-0.208,-0.108,-0.309
Canada,-0.213,-0.093,-0.333
Haiti,-0.224,-0.050,-0.398
Mozambique,-0.237,-0.041,-0.433
Spain,-0.248,-0.127,-0.369
Denmark,-0.253,-0.159,-0.347
Vietnam,-0.258,-0.162,-0.354
Honduras,-0.269,-0.106,-0.432
Zimbabwe,-0.278,-0.137,-0.419
Uganda,-0.297,-0.150,-0.444
Sudan,-0.306,-0.085,-0.528
United States,-0.315,-0.189,-0.440
South Africa,-0.348,-0.208,-0.489
Ireland,-0.363,-0.245,-0.480
Tanzania,-0.366,-0.223,-0.509
Mexico,-0.376,-0.245,-0.508
Iraq,-0.399,-0.242,-0.556
Egypt,-0.402,-0.291,-0.513
Laos,-0.421,-0.251,-0.591
Iran,-0.422,-0.238,-0.607
Brazil,-0.424,-0.294,-0.554
Jordan,-0.453,-0.325,-0.582
Central African Republic,-0.485,-0.309,-0.661
Italy,-0.489,-0.358,-0.620
Bangladesh,-0.497,-0.388,-0.607
Tunisia,-0.504,-0.400,-0.608
Trinidad & Tobago,-0.505,-0.209,-0.800
Greece,-0.581,-0.430,-0.733
Kuwait,-0.609,-0.507,-0.711
Zambia,-0.617,-0.438,-0.796
Panama,-0.665,-0.530,-0.801
Afghanistan,-0.688,-0.579,-0.797
India,-0.698,-0.629,-0.767
Liberia,-0.713,-0.558,-0.869
Cyprus,-0.773,-0.603,-0.943
Burundi,-0.773,-0.586,-0.960
Rwanda,-0.788,-0.662,-0.913
Albania,-0.791,-0.641,-0.942
Madagascar,-0.866,-0.722,-1.011
Botswana,-0.911,-0.729,-1.094
Turkmenistan,-0.931,-0.799,-1.064
Ukraine,-1.030,-0.899,-1.161
Yemen,-1.224,-1.097,-1.350
Syria,-1.401,-1.188,-1.613
Malawi,-1.561,-1.348,-1.775
Venezuela,-2.167,-1.984,-2.350
