Country,Average happiness of foreign born,Whisker-high,Whisker-low,Average happiness of locally born
Finland,7.662,7.886,7.439,7.498
Denmark,7.547,7.720,7.373,7.706
Norway,7.435,7.691,7.179,7.601
Iceland,7.427,7.782,7.072,7.438
New Zealand,7.286,7.371,7.202,7.326
Australia,7.249,7.332,7.167,7.324
Canada,7.219,7.323,7.114,7.486
Sweden,7.184,7.315,7.053,7.379
Switzerland,7.177,7.322,7.032,7.626
Mexico,7.031,7.530,6.533,6.830
Netherlands,6.945,7.115,6.774,7.492
Israel,6.921,6.994,6.848,7.348
Ireland,6.916,7.036,6.796,7.104
Austria,6.903,7.076,6.729,7.261
United States,6.878,7.068,6.688,7.160
Oman,6.829,7.345,6.313,6.933
Luxembourg,6.802,6.886,6.719,7.045
Costa Rica,6.726,6.916,6.536,7.249
United Arab Emirates,6.685,6.740,6.631,7.184
United Kingdom,6.677,6.779,6.576,6.913
Singapore,6.607,6.698,6.516,6.539
Belgium,6.601,6.732,6.469,7.076
Malta,6.506,6.753,6.259,6.317
Chile,6.495,6.880,6.111,6.425
Japan,6.457,6.793,6.120,6.025
Qatar,6.395,6.490,6.300,6.962
Uruguay,6.374,6.638,6.110,6.257
Germany,6.366,6.482,6.250,6.757
France,6.352,6.527,6.176,6.691
Cyprus,6.337,6.516,6.159,6.026
Panama,6.336,6.611,6.060,6.842
Ecuador,6.294,6.713,5.875,5.790
Bahrain,6.240,6.334,6.146,5.542
Kuwait,6.207,6.267,6.148,6.518
Saudi Arabia,6.155,6.247,6.063,6.572
Spain,6.107,6.278,5.937,6.531
Venezuela,6.086,6.431,5.740,6.412
Taiwan Province of China,6.012,6.341,5.684,6.261
Italy,5.960,6.171,5.748,6.213
Paraguay,5.899,6.185,5.613,5.610
Czech Republic,5.880,6.146,5.614,6.509
Argentina,5.843,6.077,5.609,6.440
Belize,5.804,6.219,5.388,6.276
Slovakia,5.747,6.153,5.341,6.067
Kosovo,5.726,6.091,5.361,5.510
Belarus,5.715,5.859,5.572,5.561
Slovenia,5.703,5.908,5.499,5.974
Portugal,5.688,5.877,5.498,5.244
Poland,5.649,6.014,5.285,5.869
Uzbekistan,5.600,5.908,5.291,5.778
Russia,5.548,5.680,5.416,5.555
Turkmenistan,5.547,5.813,5.281,5.741
Turkey,5.488,5.826,5.149,5.323
Malaysia,5.460,5.844,5.076,5.844
Northern Cyprus,5.443,5.617,5.269,5.886
Croatia,5.368,5.553,5.183,5.527
Bosnia and Herzegovina,5.361,5.713,5.010,5.004
Jordan,5.345,5.462,5.229,5.471
Kazakhstan,5.342,5.490,5.194,5.782
Zambia,5.286,5.936,4.636,4.742
Greece,5.284,5.448,5.119,5.531
Egypt,5.277,5.628,4.926,4.468
Hungary,5.272,5.600,4.944,5.116
Dominican Republic,5.239,5.739,4.740,5.139
Libya,5.187,5.598,4.776,5.647
Moldova,5.187,5.408,4.965,5.632
Montenegro,5.181,5.378,4.984,5.238
Cameroon,5.128,5.546,4.710,4.558
Lebanon,5.116,5.365,4.868,5.057
Nigeria,5.090,5.602,4.579,5.105
Lithuania,5.036,5.280,4.793,5.739
Serbia,5.036,5.229,4.843,5.024
Iraq,5.003,5.497,4.510,4.678
Estonia,4.998,5.110,4.885,5.588
Pakistan,4.990,5.322,4.657,5.241
Macedonia,4.970,5.329,4.612,4.898
"Hong Kong SAR, China",4.963,5.072,4.853,5.634
Tajikistan,4.955,5.424,4.485,4.830
Somaliland region,4.900,5.101,4.699,4.887
South Africa,4.784,5.079,4.490,4.826
Kyrgyzstan,4.750,4.920,4.579,5.074
Nepal,4.740,4.975,4.505,4.573
Azerbaijan,4.735,4.974,4.495,4.923
Mauritania,4.733,4.900,4.567,4.512
Latvia,4.728,4.843,4.612,5.453
Palestinian Territories,4.689,4.845,4.532,4.633
Congo (Kinshasa),4.636,4.929,4.343,4.342
Yemen,4.584,4.935,4.233,4.009
Sierra Leone,4.583,5.229,3.937,4.287
Gabon,4.581,4.804,4.358,4.291
India,4.549,4.870,4.228,4.609
Ukraine,4.546,4.740,4.352,4.757
Senegal,4.514,4.798,4.230,4.345
Botswana,4.496,4.911,4.081,4.021
Liberia,4.479,4.964,3.994,3.897
Mali,4.477,4.796,4.159,4.171
Congo (Brazzaville),4.427,4.756,4.097,4.253
Zimbabwe,4.413,4.821,4.005,4.162
Chad,4.339,4.585,4.092,4.020
Malawi,4.338,4.778,3.899,4.087
Sudan,4.325,4.768,3.882,4.385
Uganda,4.191,4.638,3.745,4.250
Kenya,4.167,4.525,3.810,4.310
Burkina Faso,4.146,4.333,3.960,4.085
Djibouti,4.139,4.408,3.869,4.880
Armenia,4.101,4.262,3.940,4.418
Afghanistan,4.068,4.268,3.869,3.853
Niger,4.057,4.356,3.758,4.136
Benin,4.015,4.325,3.704,3.732
Georgia,3.988,4.409,3.566,4.174
Guinea,3.954,4.269,3.639,3.838
South Sudan,3.925,4.428,3.421,3.370
Comoros,3.911,4.162,3.661,3.740
Ivory Coast,3.908,4.145,3.672,4.266
Rwanda,3.899,4.115,3.682,3.703
Togo,3.570,3.869,3.270,3.419
Syria,3.516,3.792,3.240,4.125
