country,Region indicator,"Life ladder, 2015-2017","Standard error, life ladder, 2015-2017","Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Standard error, social support, 2015-2017","Freedom to make life choices, 2015-2017","Standard error, freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Standard error, generosity, 2015-2017","Perceptions of corruption, 2015-2017","Standard error, perceptions of corruption, 2015-2017"
Afghanistan,South Asia,3.63151884078979,0.042359840124846,7.46260976791382,1741.6875,52.0133285522461,0.525074541568756,0.011118961498141,0.445294231176376,0.011448964476585,0.179053544998169,0.008330868557096,0.879704535007477,0.006009076721966
Albania,Central and Eastern Europe,4.58603954315186,0.055812787264586,9.33812618255615,11363.095703125,68.8715515136719,0.639576375484467,0.010078066028655,0.726340234279633,0.009421178139746,0.259975373744965,0.009048300795257,0.88677841424942,0.005774962715805
Algeria,Middle East and North Africa,5.29463768005371,0.057086996734142,9.54070281982422,13914.7236328125,65.6048583984375,0.776976704597473,0.011170882731676,0.439177334308624,0.019161486998201,0.128987744450569,0.01232744473964,0.698342978954315,0.019292728975415
Angola,Sub-Saharan Africa,3.79483795166016,0.079919315874577,8.74195671081543,6260.1328125,52.4607086181641,0.765275478363037,0.015743685886264,0.374172747135162,0.018346261233091,0.106828570365906,0.011498649604619,0.833540439605713,0.016014093533158
Argentina,Latin America and Caribbean,6.38795757293701,0.049497004598379,9.84200096130371,18807.310546875,67.3984832763672,0.905564665794373,0.006363280117512,0.85338968038559,0.007526321802288,0.16317380964756,0.007776919752359,0.847881674766541,0.006881147157401
Armenia,Commonwealth of Independent States,4.32056522369385,0.046599715948105,9.01890182495117,8257.7041015625,64.9624786376953,0.710184693336487,0.009442767128348,0.592957973480225,0.010660568252206,0.12258356064558,0.006905243266374,0.895624935626984,0.006379431579262
Australia,North America and ANZ,7.2720513343811,0.044062949717045,10.7004194259644,44374.46484375,72.6502990722656,0.948141157627106,0.005684959702194,0.918003737926483,0.007726734038442,0.694878876209259,0.012152797542513,0.388529062271118,0.01264388859272
Austria,Western Europe,7.13936233520508,0.035738773643971,10.7049169540405,44574.48828125,72.0495681762695,0.920177042484283,0.00573523202911,0.89337158203125,0.006564917042851,0.509860396385193,0.010382580570877,0.533494234085083,0.009448640048504
Azerbaijan,Commonwealth of Independent States,5.20059490203857,0.035344656556845,9.68574523925781,16086.6533203125,62.9697494506836,0.779933214187622,0.009028784930706,0.735739469528198,0.009759251028299,0.10410862416029,0.006177492439747,0.620859324932098,0.011188980191946
Bahrain,Middle East and North Africa,6.10506868362427,0.044032443314791,10.6934127807617,44064.6328125,65.9767913818359,0.86359828710556,0.007030158303678,0.874140799045563,0.006279327906668,0.510673224925995,0.01012296974659,,
Bangladesh,South Asia,4.50039052963257,0.042117509990931,8.1066255569458,3316.3681640625,62.2035598754883,0.652717888355255,0.009915128350258,0.861735761165619,0.007413707207888,0.170758500695229,0.008096794597805,0.681194186210632,0.009344772435725
Belarus,Commonwealth of Independent States,5.48332643508911,0.037971056997776,9.73315715789795,16867.72265625,66.0305099487305,0.917586326599121,0.005753220058978,0.632646799087524,0.010505991056562,0.21748723089695,0.008474286645651,0.661701798439026,0.01052816119045
Belgium,Western Europe,6.9268856048584,0.034719590097666,10.6476554870605,42093.7890625,72.1429290771484,0.911503732204437,0.006721443030983,0.864310026168823,0.007992961443961,0.421579718589783,0.010977175086737,0.502901017665863,0.010070164687932
Belize,Latin America and Caribbean,5.95564651489258,0.123082891106606,8.98788261413574,8005.48828125,58.9239082336426,0.755414307117462,0.022627901285887,0.872770309448242,0.017560267820954,0.286091297864914,0.02273428812623,0.783099353313446,0.019373059272766
Benin,Sub-Saharan Africa,4.14136409759522,0.057954616844654,7.61031341552734,2018.91076660156,51.5617980957031,0.457777112722397,0.011714859865606,0.744072258472443,0.010327198542655,0.149063423275948,0.008422113955021,0.823281526565552,0.008609598502517
Bhutan,South Asia,5.08212852478027,0.057889349758625,8.95458793640137,7743.33642578125,60.5679435729981,0.850920915603638,0.014276963658631,0.829656422138214,0.01480458304286,0.563592195510864,0.019132426008582,0.63132780790329,0.01897450722754
Bolivia,Latin America and Caribbean,5.75188970565796,0.045960478484631,8.80925273895264,6695.91357421875,59.9957885742188,0.805337011814117,0.008782043121755,0.88369345664978,0.007219995837659,0.209027826786041,0.0090954573825,0.847298145294189,0.006828548386693
Bosnia and Herzegovina,Central and Eastern Europe,5.12935400009155,0.048308450728655,9.33534812927246,11331.572265625,67.8382720947266,0.74608314037323,0.009169430471957,0.609956622123718,0.010363616980612,0.363586843013763,0.009912128560245,0.94665253162384,0.004430054686964
Botswana,Sub-Saharan Africa,3.58982872962952,0.058359567075968,9.66183853149414,15706.6357421875,57.1057052612305,0.785132467746735,0.009396764449775,0.842526435852051,0.008382398635149,0.119786821305752,0.007107092533261,0.776348769664764,0.009078891947865
Brazil,Latin America and Caribbean,6.41889047622681,0.049110028892756,9.56330871582031,14232.861328125,65.2441329956055,0.908001840114594,0.005493432283401,0.789254188537598,0.008672230876982,0.217360466718674,0.008557162247598,0.784572958946228,0.007929690182209
Bulgaria,Central and Eastern Europe,4.93312454223633,0.045322522521019,9.7834415435791,17737.591796875,66.4154891967773,0.924724042415619,0.005930664017797,0.675944566726685,0.01052718795836,0.162422731518745,0.007633193861693,0.929407775402069,0.00533464178443
Burkina Faso,Sub-Saharan Africa,4.42439126968384,0.047337830066681,7.40432596206665,1643.07702636719,51.9911003112793,0.753720283508301,0.009792630560696,0.636307597160339,0.011086731217802,0.152457877993584,0.008027818985283,0.710499942302704,0.010220274329186
Burundi,Sub-Saharan Africa,2.90453505516052,0.086576715111733,6.68857002258301,803.172912597656,48.5685577392578,0.561732590198517,0.01842387765646,0.428722262382507,0.018433142453432,0.054393403232098,0.008235759101808,0.806447207927704,0.015389130450785
Cambodia,Southeast Asia,4.43258810043335,0.05262602865696,8.15907573699951,3494.95483398437,58.3711280822754,0.750254333019257,0.008240192197263,0.959941327571869,0.00377634097822,0.336479425430298,0.009455299004912,0.82680344581604,0.007279823068529
Cameroon,Sub-Saharan Africa,4.9753270149231,0.058654997497797,8.114089012146,3341.21240234375,49.735164642334,0.669572830200195,0.010617674328387,0.755737602710724,0.00980846490711,0.22044625878334,0.009532882831991,0.866538763046265,0.007191713433713
Canada,North America and ANZ,7.32852840423584,0.047058839350939,10.6697816848755,43035.546875,72.190803527832,0.931540191173553,0.007017951458693,0.923505961894989,0.010606041178107,0.625681042671204,0.015014038421214,0.409655749797821,0.01622586324811
Central African Republic,Sub-Saharan Africa,3.0829975605011,0.073256053030491,6.47370624542236,647.880493164063,44.3124198913574,0.305565357208252,0.01269587688148,0.630962014198303,0.013776701875031,0.167455777525902,0.010431732982397,0.875871241092682,0.008499441668391
Chad,Sub-Saharan Africa,4.30058717727661,0.061168000102043,7.54616212844849,1893.4619140625,45.65771484375,0.67619252204895,0.011011133901775,0.533072292804718,0.011766868643463,0.171422481536865,0.008913114666939,0.835992634296417,0.008354159072042
