ISO_3DIGIT,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Annual_precip
AFG,43.28,49.18,64.97,49.41,24.18,4.56,8.03,7.74,3.67,9.36,15.41,31.54,311.32
AGO,154.99,148.54,169.91,109.07,15.14,0.37,0.32,3.41,20.10,69.77,144.51,155.16,991.31
ALB,108.00,102.63,93.43,86.16,74.27,54.58,39.07,45.70,67.57,105.26,138.26,138.30,1053.24
ARE,5.96,22.18,16.59,8.96,1.08,1.09,2.28,1.41,0.50,0.43,1.74,5.60,67.81
ARG,68.37,63.65,69.53,46.48,36.28,28.08,25.89,24.10,30.07,47.72,55.57,63.30,559.05
ARM,20.84,25.93,40.11,59.73,82.85,68.05,43.06,35.97,29.43,42.13,30.79,23.40,502.28
AUS,80.56,75.81,61.98,31.12,30.00,23.83,23.30,20.27,17.84,24.37,33.10,50.92,473.09
AUT,67.70,65.91,75.92,90.70,113.36,137.66,137.00,131.42,94.91,77.15,92.21,77.24,1161.18
AZE,24.68,27.43,40.52,48.44,56.83,50.86,25.20,23.09,34.15,45.41,30.50,26.76,433.88
BDI,154.09,139.05,170.24,193.73,94.37,12.22,3.75,13.85,56.13,96.15,171.95,157.27,1262.81
BEL,74.45,59.44,74.45,59.46,70.18,78.92,75.72,68.05,66.86,77.40,85.99,83.37,874.30
BEN,2.16,8.15,35.99,69.76,118.89,153.81,180.24,196.31,180.95,76.12,8.69,3.22,1034.27
BFA,0.27,1.02,8.23,28.06,64.21,102.32,172.88,215.39,141.89,36.40,2.79,0.82,774.29
BGD,6.51,16.42,45.26,138.30,256.17,443.14,487.72,377.62,296.07,160.54,30.40,8.38,2266.52
BGR,43.38,43.77,44.58,52.87,66.79,69.26,51.19,42.05,36.90,40.96,56.04,55.05,602.84
BHS,45.45,45.47,51.36,65.95,161.50,189.20,128.61,166.29,175.39,142.16,65.81,42.88,1280.08
BIH,80.86,76.12,77.19,89.21,95.58,100.31,83.83,83.99,84.60,87.76,110.48,101.83,1071.76
BLR,35.29,28.69,33.58,39.44,53.06,77.90,82.40,68.45,55.32,43.90,47.23,44.79,610.07
BLZ,121.10,67.28,52.64,60.33,134.92,262.84,298.30,244.69,287.37,244.19,171.44,144.16,2089.26
BOL,179.82,167.58,142.46,80.47,49.73,30.27,20.86,26.23,43.93,78.30,113.58,162.33,1095.56
BRA,226.46,217.80,236.03,184.87,130.86,81.93,65.16,57.76,76.91,124.49,158.20,202.52,1762.97
BRN,347.71,175.36,195.81,237.31,286.29,223.15,216.21,225.94,264.16,304.76,334.17,349.91,3160.78
BTN,6.58,8.05,26.92,93.84,162.48,366.28,446.23,330.03,238.27,84.85,12.84,4.10,1780.46
BWA,89.76,77.00,53.38,31.47,4.90,1.23,0.33,0.60,5.70,21.71,45.99,62.41,394.48
CAF,6.81,15.65,58.40,95.95,144.62,166.27,206.48,229.71,218.36,165.86,37.40,9.19,1354.67
CAN,28.74,23.17,25.31,24.86,32.82,48.52,58.91,56.43,48.66,41.36,36.86,31.83,457.47
