ISO_3DIGIT,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp
AFG,0.07,2.11,7.60,13.37,18.22,23.20,25.26,23.77,19.03,12.99,7.00,2.43,12.92
AGO,22.58,22.68,22.78,22.35,20.74,18.37,17.95,19.90,22.19,23.18,22.79,22.61,21.51
ALB,2.02,3.22,6.04,9.92,14.44,17.93,20.54,20.48,17.16,12.27,7.58,3.65,11.27
ARE,18.43,19.43,22.61,26.58,30.62,32.46,33.80,33.55,31.74,28.34,24.06,20.28,26.83
ARG,20.80,19.90,17.51,14.05,10.65,7.66,7.42,9.02,11.53,14.67,17.54,19.83,14.22
ARM,-8.66,-6.65,-0.57,6.62,11.43,15.58,19.82,19.28,14.97,7.92,1.62,-4.87,6.37
AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51
AUT,-3.52,-1.99,1.42,5.51,10.12,13.29,15.26,14.98,12.09,7.55,1.73,-2.21,6.19
AZE,-0.20,0.80,4.97,11.64,16.80,21.73,24.76,24.11,19.83,12.88,7.33,2.03,12.22
BDI,20.24,20.39,20.43,20.37,20.05,19.37,19.36,20.44,21.16,20.98,20.24,20.17,20.27
BEL,1.95,2.62,5.23,8.15,12.40,15.43,17.24,17.18,14.43,10.68,5.76,3.11,9.51
BEN,26.57,28.69,30.14,30.20,28.93,27.13,25.84,25.44,25.90,27.15,27.15,26.39,27.46
BFA,25.00,27.84,30.63,32.05,31.47,29.23,27.11,26.36,26.97,28.71,27.47,25.25,28.18
BGD,18.63,21.02,25.42,28.02,28.45,28.46,28.30,28.39,28.36,27.17,23.70,19.74,25.47
BGR,-1.18,0.87,4.70,9.92,14.99,18.64,20.85,20.49,16.85,11.48,5.95,1.21,10.40
BHS,21.65,21.88,23.00,24.21,25.77,27.23,27.95,27.99,27.68,26.45,24.44,22.52,25.06
BIH,-1.36,0.40,4.01,8.44,12.94,16.33,18.52,18.48,14.94,9.95,4.81,0.73,9.02
BLR,-6.80,-5.50,-0.69,6.92,13.44,16.54,17.72,16.95,12.42,6.90,1.21,-3.58,6.29
BLZ,22.37,23.04,24.45,25.87,26.91,26.93,26.45,26.66,26.49,25.42,23.56,22.62,25.06
BOL,22.57,22.43,22.07,21.00,19.25,17.65,17.77,19.43,21.33,22.51,22.91,22.78,20.98
BRA,25.58,25.65,25.49,25.05,24.19,23.29,23.24,24.23,25.13,25.73,25.74,25.66,24.92
BRN,25.34,25.47,25.92,26.45,26.51,26.26,26.04,26.08,26.05,25.92,25.48,25.69,25.93
BTN,0.56,2.17,5.68,8.78,11.53,14.39,14.80,14.59,13.35,9.69,5.29,2.07,8.58
BWA,26.31,25.42,24.30,21.42,17.60,14.29,14.21,17.16,21.36,24.28,25.50,25.89,21.48
CAF,24.28,26.01,26.96,26.76,25.88,24.65,23.77,23.71,23.84,24.31,24.25,23.65,24.84
CAN,-24.62,-23.25,-18.72,-9.79,-0.29,7.24,11.11,9.52,3.45,-4.36,-14.50,-21.52,-7.14
CHE,-3.24,-2.32,0.09,3.35,7.44,10.78,13.03,12.54,10.14,6.08,1.05,-1.96,4.75
CHL,12.68,12.20,10.87,8.62,6.29,4.40,4.04,4.84,6.32,8.22,10.12,11.85,8.37
CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33
CIV,25.84,27.77,28.25,28.05,27.19,25.88,24.87,24.74,25.27,25.99,26.32,25.43,26.30
CMR,23.88,25.36,26.27,26.43,25.52,24.34,23.37,23.29,23.73,24.28,24.25,23.61,24.53
COD,24.14,24.50,24.73,24.63,24.35,23.31,22.82,23.51,24.08,24.27,24.13,23.99,24.04
COG,24.70,25.31,25.60,25.62,25.26,23.82,23.03,23.34,24.05,24.54,24.52,24.47,24.52
COL,24.62,24.98,25.14,24.75,24.35,23.89,23.79,24.04,24.21,24.29,24.38,24.39,24.40
COM,25.09,25.11,25.20,24.98,23.96,22.50,21.97,22.18,22.80,23.91,24.90,25.24,23.99
CRI,23.17,23.67,24.62,25.04,24.60,23.99,24.05,23.85,23.68,23.43,23.06,23.04,23.85
CUB,22.21,22.39,23.75,24.79,26.06,26.91,27.44,27.43,26.98,26.06,24.50,23.05,25.13
CYP,10.64,11.07,12.99,16.58,20.54,24.47,27.05,27.05,24.78,20.81,16.19,12.39,18.71
CZE,-2.81,-1.06,2.80,7.49,12.30,15.41,17.11,16.90,13.49,8.59,2.82,-1.06,7.67
DEU,-0.48,0.56,3.87,7.69,12.27,15.50,17.19,16.97,13.90,9.43,4.27,0.88,8.50
