"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37140.0246568536","38562.9606176892","38669.3749013174","39051.995974397","39944.1114331306","39113.471647732","38209.1954261706","39824.2909203858","39767.7893949071","39478.4943294997","41621.2326674911","39495.5577972876","37360.4757716201","37303.3326851659","39553.3740743505","39515.814603003","39613.7624706742","40172.3171996609","40083.2096753624","35831.2043050353","34437.4941743467","35490.1839843782","34825.2040429579","36072.7314209311","36165.6147789135","35814.2614376623","35574.6178326658","35896.5779516164","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1044.95037329247","1083.74946866978","1051.03952784136","1124.68430584202","1147.29191117518","1270.43027144848","1287.53436467813","1523.30234090274","1693.7701994264","1649.15037334293","1799.5853505663","1838.4067012056","1829.32700472961","1802.04951972054","1793.88647411753","1796.39253055946","",
"Angola","AGO","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4634.8568409843","4538.36667449539","4136.68416818956","3042.42205483834","2985.70241938512","3330.64172405736","3675.30391559619","3836.38835068831","3908.76682427665","3882.48999399101","3881.55659984783","3915.64808300766","4301.47110158349","4276.58291787299","4578.40160952656","5081.48882792465","5469.70487424132","6017.64154685231","6455.397306393","6282.69374768515","6356.93499087317","6346.94437233055","6648.20505728375","6735.46102134681","6818.44601606049","6650.8382526537","6264.68008157535","6051.57936786843","",
"Albania","ALB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4558.33312989531","3228.97406363259","3014.71488631264","3324.3498046245","3622.44017560833","4129.65512634494","4533.54284983417","4063.81698990722","4450.5730665922","5056.1741320279","5442.15387167925","5948.87571791268","6237.6318616481","6607.247676879","7000.50327102162","7425.53718478004","7913.41332760374","8450.25491093645","9153.99777400742","9524.62680496471","9927.15286013963","10207.7188873613","10369.7801614204","10492.6841556204","10700.5368857994","10969.9875752239","11355.6230702122","11802.0225726936","",
"Andorra","AND","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10385.2157567722","10141.8008468636","10470.8274955897","10518.6218225801","10561.4600996951","10523.2976830461","10766.6039883132","10988.6779048338","11393.9423686511","11421.3301654086","11771.37393496","11732.2926107619","11554.1025455082","11810.1845273513","12615.0306802116","13025.7940923737","13505.8540534244","13782.1352743183","14234.8873239442","14027.7542714297","14356.7526237734","14446.9717450307","15058.6717324087","15176.5639329096","15201.4039487484","15365.834880181","15570.9167401797","15444.1527744757","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110432.464978755","105171.409619111","102615.170341809","98224.5164747334","99529.7807231025","100976.945075028","101754.295697613","104829.027296031","100018.103763662","97753.8284203735","102634.924267984","98716.9704207275","95894.9144255935","97790.1774033015","98076.5331608514","91798.2599095519","88086.3573793506","78830.2766449812","71314.6688194048","60769.8610283776","57232.6180757649","58363.6782159597","59419.0894908505","61688.3802986273","63943.1858285789","66569.4034144417","67705.9493287962","67293.4827590288","",
"Argentina","ARG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11334.2226112136","12196.4179184174","12984.0681681207","13861.946177794","14481.1082032399","13893.5226589826","14485.5076845653","15479.3791285386","15894.5580528952","15186.130197286","14899.8700458711","14085.5751760246","12412.6059887095","13361.4000434323","14410.1505153775","15518.6785097698","16592.264892395","17900.7063421587","18436.8624668727","17168.3789365496","18712.0630773436","19629.3518451916","19224.8743997107","19482.190295091","18797.5479465897","19116.9079145132","18584.580004917","18932.166465082","",
"Armenia","ARM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3742.43737068264","3335.60189918844","1976.52923651447","1845.31970707182","1992.01948539874","2173.36283006067","2336.51656159442","2441.18183351899","2639.94931837895","2744.43020482128","2924.74737971681","3224.14127527108","3669.44339048777","4206.97511756609","4673.9847258369","5356.61442371329","6110.22619140708","7010.62705596387","7558.36164780203","6532.96423059787","6702.84800627942","7022.10394338388","7511.13248214739","7727.92909142749","7971.11792740877","8195.93364917799","8190.23928865463","8787.57993957654","",
"American Samoa","ASM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16381.0183664456","16585.6712434924","16503.1721291013","16999.1769692642","17683.7514734595","16476.3335330353","17097.9759434522","17543.7318737034","17887.8079959782","18102.2035106199","18908.4942416462","17660.5219741295","17591.3402445254","18437.5083024513","19282.2298482623","20289.7106980551","22606.8409189693","24408.1815620194","24111.3771859085","20942.301047304","19212.7199039299","18605.3165854008","19047.2002623266","18823.7682404467","19491.1943472588","20063.2042293396","20966.4657353875","21380.1574008495","",
"Australia","AUS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28658.3658903333","28185.7529003265","27969.0661165142","28815.4629795064","29646.4192650494","30412.0780548637","31179.3078735732","32055.3850594342","33174.9076526314","34443.8661779261","35377.729551754","35578.642071091","36553.9646143988","37183.6845735971","38225.6937136627","38928.0407567854","39445.1329184684","40680.1896301231","41331.5279733539","41266.8663842235","41464.0400696359","41894.1730524786","42754.4562863267","43118.0861274364","43547.1974836868","43923.2582693466","44493.4808943831","44648.7099113362","",
"Austria","AUT","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31341.9023811581","32098.4915397552","32411.8024585346","32314.9708748054","32964.1016119637","33791.8014680143","34539.0855902146","35222.2593769414","36443.7092612023","37666.411617272","38844.404713666","39186.3370023663","39638.0268737228","39816.7741226218","40652.8107017009","41282.8799941074","42498.0073262324","43939.4252883758","44441.7885303671","42656.8541604126","43336.1978527647","44452.7327457999","44551.6175741173","44301.104028751","44320.5020125474","44304.967756787","44464.3502683082","45436.6858219914","",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8513.31069277994","8323.49934468511","6345.5169997564","4806.13270233044","3807.50790708691","3319.76734895474","3329.13480415802","3488.41002547603","3801.00252072188","4046.6074672842","4458.99842303434","4862.6190309313","5338.07631838764","5891.13710833521","6435.44812947118","8051.67483806248","10711.1822716451","13243.2128559113","14364.9942336723","15393.8932908055","15950.2574578784","15754.1523626148","15888.2179950886","16593.1887600482","16715.1055213058","16698.8636532538","16001.3233967209","15847.4188327529","",
"Burundi","BDI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1031.86297921739","1058.66780481738","1046.86464882016","962.788572653661","910.111470741658","825.316792501322","749.355360135347","728.876082617228","754.333406858349","735.703733968227","715.523769669117","712.954886001267","724.140195515514","693.516794470563","703.824430014221","687.118761192712","700.53229991197","700.5953001379","710.261724527628","713.302714941611","726.084239238999","732.262990100057","742.157994873418","755.952954079889","764.780217762144","712.796926609705","686.650177473812","668.478984270799","",
